#Time (s),Channel 1 (V),Channel 2 (V)
-7.209999999999999e-05,0.6194294398928347,0.3119768724304956
-7.208e-05,0.6160772415135793,0.3089184872046902
-7.206e-05,0.6103785042688425,0.3058601019788834
-7.203999999999999e-05,0.6040093273482544,0.3028017167530765
-7.201999999999999e-05,0.5976401504276642,0.2997433315272684
-7.2e-05,0.5932822925346342,0.2970247668821092
-7.198e-05,0.5889244346415982,0.293626561075656
-7.196e-05,0.5828904775589357,0.2912478170111396
-7.193999999999999e-05,0.577191740314197,0.2881894317853324
-7.192e-05,0.572833882421167,0.2875097906240426
-7.19e-05,0.5691464642039823,0.2841115848175902
